Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
113	Tom Cairney	sct SCO	MF	Fulham	30	1991	26	16	1,547	17.2	0.17	0.23	0.41	0.17	0.00	0.00	0.12	0.00	0.17	0.23	0.41	0.17	0.41	Matches
114	Mamadi Camará	gw GNB	FW,MF	Reading	17	2003	6	0	151	1.7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
115	Allan Campbell	sct SCO	MF	Luton Town	23	1998	33	31	2,583	28.7	0.14	0.07	0.21	0.14	0.00	0.00	0.28	0.00	0.14	0.07	0.21	0.14	0.21	Matches
116	Fraizer Campbell	eng ENG	FW	Huddersfield	33	1987	19	4	614	6.8	0.00	0.00	0.00	0.00	0.00	0.00	0.44	0.00	0.00	0.00	0.00	0.00	0.00	Matches
117	Tyrese Campbell	eng ENG	FW,MF	Stoke City	21	1999	26	10	1,049	11.7	0.34	0.09	0.43	0.34	0.00	0.00	0.17	0.00	0.34	0.09	0.43	0.34	0.43	Matches
118	Andy Cannon	eng ENG	MF	Hull City	25	1996	10	4	440	4.9	0.20	0.00	0.20	0.20	0.00	0.00	0.20	0.00	0.20	0.00	0.20	0.20	0.20	Matches
119	Todd Cantwell	eng ENG	MF	Bournemouth	23	1998	11	8	639	7.1	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	Matches
120	Sonny Carey	eng ENG	MF,FW	Blackpool	20	2001	11	5	491	5.5	0.18	0.00	0.18	0.18	0.00	0.00	0.36	0.00	0.18	0.00	0.18	0.18	0.18	Matches
121	Juan Carlos Familia	do DOM	MF	Birmingham City	21	2000	3	1	84	0.9	0.00	0.00	0.00	0.00	0.00	0.00	1.11	0.00	0.00	0.00	0.00	0.00	0.00	Matches
122	Andy Carroll	eng ENG	FW	Reading	32	1989	8	6	592	6.6	0.30	0.15	0.45	0.30	0.00	0.00	0.00	0.00	0.30	0.15	0.46	0.30	0.46	Matches
123	Andy Carroll	eng ENG	FW	West Brom	32	1989	15	11	1,034	11.5	0.26	0.00	0.26	0.26	0.00	0.00	0.00	0.00	0.26	0.00	0.26	0.26	0.26	Matches
