Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
133	Cyrus Christie	ie IRL	DF,MF	Hull City	29	1992	23.1	0.13	0.00	0.00	1.34	0.39	0.13	3.03	1.56	1.04			0.04	Matches
134	Darko Churlinov	mk MKD	MF	Burnley	22	2000	2.2	0.00	0.00	0.00	1.82	1.82	1.36	1.36	0.45	0.45			0.00	Matches
135	Dennis Cirkin	lv LVA	DF	Sunderland	20	2002	20.5	0.39	0.05	0.05	1.37	2.00	0.00	0.83	1.51	1.17			0.00	Matches
136	Ciaran Clark	ie IRL	DF	Sheffield United	32	1989	7.4	0.54	0.00	0.00	0.95	1.49	0.00	0.27	1.62	2.30			0.00	Matches
137	Jordan Clark	eng ENG	MF	Luton Town	28	1993	34.4	0.15	0.00	0.00	1.25	1.05	0.06	2.65	1.13	1.08			0.00	Matches
138	Harry Clarke	eng ENG	MF,DF	Stoke City	21	2001	10.9	0.18	0.00	0.00	1.83	0.73	0.00	2.48	1.28	1.38			0.00	Matches
139	Jack Clarke	eng ENG	MF,FW	Sunderland	21	2000	42.1	0.21	0.00	0.00	1.47	2.00	0.57	2.28	0.64	1.24			0.00	Matches
140	John Clarke	ie IRL	DF	Reading	18	2004	0.3	0.00	0.00	0.00	0.00	3.33	0.00	0.00	3.33	0.00			0.00	Matches
141	Matthew Clarke	eng ENG	DF	Middlesbrough	25	1996	5.1	0.20	0.00	0.00	1.18	0.78	0.20	0.78	1.76	1.37			0.00	Matches
142	Jake Clarke-Salter	eng ENG	DF	QPR	24	1997	12.6	0.08	0.00	0.00	1.27	0.24	0.00	0.40	1.75	2.14			0.00	Matches
143	Reyes Cleary	eng ENG	FW,MF	West Brom	18	2004	0.6	0.00	0.00	0.00	1.67	1.67	0.00	10.0	1.67	0.00			0.00	Matches
144	Tom Cleverley	eng ENG	MF	Watford	32	1989	2.7	0.37	0.00	0.00	1.85	0.37	0.00	1.85	0.37	0.74			0.00	Matches
145	Sam Clucas	eng ENG	MF	Stoke City	31	1990	5.4	0.00	0.00	0.00	1.30	0.37	0.00	2.59	0.74	2.04			0.00	Matches
146	Josh Coburn	eng ENG	FW	Middlesbrough	19	2002	0.3	0.00	0.00	0.00	0.00	3.33	0.00	0.00	0.00	0.00			0.00	Matches
147	Maxime Colin	fr FRA	DF,MF	Birmingham City	30	1991	42.7	0.09	0.00	0.00	0.75	0.26	0.07	1.94	1.36	1.48			0.00	Matches
148	Jamilu Collins	ng NGA	DF	Cardiff City	27	1994	3.1	0.32	0.00	0.00	0.97	2.90	0.32	0.97	5.16	0.65			0.00	Matches
149	Rubin Colwill	wls WAL	MF	Cardiff City	20	2002	6.7	0.15	0.00	0.00	1.64	1.19	0.45	4.48	0.15	1.04			0.00	Matches
150	Cameron Congreve	wls WAL	MF	Swansea City	18	2004	1.4	0.00	0.00	0.00	1.43	0.71	0.71	7.86	0.00	1.43			0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
151	Aaron Connolly	ie IRL	FW,MF	Hull City	22	2000	3.8	0.26	0.00	0.00	1.05	2.89	0.79	0.79	0.53	0.79			0.00	Matches
152	Callum Connolly	eng ENG	DF,MF	Blackpool	24	1997	38.4	0.29	0.03	0.03	1.51	1.09	0.08	1.04	0.96	0.89			0.05	Matches
153	Tommy Conway	sct SCO	FW,MF	Bristol City	19	2002	21.1	0.05	0.00	0.00	1.18	1.42	0.38	0.81	0.14	0.62			0.00	Matches
154	Jake Cooper	eng ENG	DF	Millwall	27	1995	44.4	0.29	0.00	0.00	1.26	0.38	0.07	0.16	1.19	0.47			0.00	Matches
155	Oliver Cooper	wls WAL	MF,FW	Swansea City	22	1999	25.6	0.23	0.00	0.00	1.37	2.54	0.12	0.86	0.51	1.29			0.00	Matches
156	Theo Corbeanu	ca CAN	FW,MF	Blackpool	20	2002	9.4	0.21	0.00	0.00	0.64	1.91	0.00	2.66	0.53	0.85			0.00	Matches
157	Jack Cork	eng ENG	MF	Burnley	33	1989	27.1	0.44	0.00	0.00	1.40	1.00	0.00	0.30	1.48	1.37			0.00	Matches
158	Harry Cornick	eng ENG	MF,FW	Bristol City	27	1995	8.6	0.23	0.00	0.00	1.05	0.70	0.23	1.28	0.12	0.70			0.12	Matches
159	Harry Cornick	eng ENG	FW,MF	Luton Town	27	1995	8.3	0.12	0.00	0.00	0.72	0.72	0.84	2.65	0.00	0.72			0.00	Matches
160	Sam Cosgrove	eng ENG	FW	Birmingham City	25	1996	0.4	0.00	0.00	0.00	0.00	0.00	0.00	2.50	0.00	0.00			0.00	Matches
161	Dara Costelloe	ie IRL	FW	Burnley	19	2002	2.3	0.00	0.00	0.00	0.43	0.87	0.43	3.48	0.00	0.00			0.00	Matches
162	Jordan Cousins	eng ENG	MF	Wigan Athletic	28	1994	7.1	0.00	0.00	0.00	0.85	0.99	0.00	0.14	0.70	0.99			0.00	Matches
163	Conor Coventry	ie IRL	MF	Rotherham	22	2000	14.5	0.21	0.00	0.00	1.03	0.90	0.00	3.86	1.38	1.52			0.00	Matches
164	Vaughn Covil	us USA	MF	Hull City	19	2003	1.1	0.00	0.00	0.00	0.91	0.91	0.00	0.00	0.91	0.91			0.00	Matches
165	Lewie Coyle	eng ENG	DF,MF	Hull City	26	1995	26.9	0.19	0.00	0.00	0.86	1.52	0.07	3.01	0.67	1.45			0.04	Matches
